"Type","Description","Case","Location","Agency","Date","CityState","Address","lon","lat"
NA,"AUTO BURGLARY",130800548,"4500 BLOCK LOMAS BL NE","Albuquerque Police","2/25/2013 21:14","Albuquerque NM","4500 BLOCK LOMAS BL NE Albuquerque NM",-106.5952721,35.0873371
NA,"AUTO THEFT",130017598,"3000 BLOCK FRONTIER AV NE","Albuquerque Police","2/25/2013 16:03","Albuquerque NM","3000 BLOCK FRONTIER AV NE Albuquerque NM",-106.612309,35.089329
NA,"AUTO BURGLARY",130800547,"1500 BLOCK UNIVERSITY BL NE","Albuquerque Police","2/25/2013 15:57","Albuquerque NM","1500 BLOCK UNIVERSITY BL NE Albuquerque NM",-106.6267156,35.0974276
NA,"AUTO THEFT",130017616,"200 BLOCK HERMOSA DR SE","Albuquerque Police","2/25/2013 15:41","Albuquerque NM","200 BLOCK HERMOSA DR SE Albuquerque NM",-106.603133,35.078173
NA,"BURGLARY/BREAKING AND ENTERING",130017587,"1900 BLOCK BRYN MAWR DR NE","Albuquerque Police","2/25/2013 15:30","Albuquerque NM","1900 BLOCK BRYN MAWR DR NE Albuquerque NM",-106.6102765,35.1047644
NA,"AUTO BURGLARY",130017628,"2600 BLOCK GARFIELD AV SE","Albuquerque Police","2/25/2013 15:18","Albuquerque NM","2600 BLOCK GARFIELD AV SE Albuquerque NM",-106.6170695,35.0736667
NA,"ROBBERY",130017575,"1400 BLOCK CARLISLE BL NE","Albuquerque Police","2/25/2013 14:49","Albuquerque NM","1400 BLOCK CARLISLE BL NE Albuquerque NM",-106.6035133,35.1186186
NA,"AUTO BURGLARY",130017576,"2400 BLOCK GARFIELD AV SE","Albuquerque Police","2/25/2013 14:00","Albuquerque NM","2400 BLOCK GARFIELD AV SE Albuquerque NM",-106.6195775,35.0736661
NA,"BURGLARY/BREAKING AND ENTERING",130017592,"1300 BLOCK MORNINGSIDE DR NE","Albuquerque Police","2/25/2013 12:33","Albuquerque NM","1300 BLOCK MORNINGSIDE DR NE Albuquerque NM",-106.599441,35.095018
NA,"AUTO BURGLARY",130017500,"3200 BLOCK CENTRAL AV E","Albuquerque Police","2/25/2013 11:35","Albuquerque NM","3200 BLOCK CENTRAL AV E Albuquerque NM",-106.6093141,35.0802147
NA,"AUTO BURGLARY",130800542,"1400 BLOCK MORNINGSIDE DR NE","Albuquerque Police","2/25/2013 8:14","Albuquerque NM","1400 BLOCK MORNINGSIDE DR NE Albuquerque NM",-106.599397,35.09636
NA,"AUTO BURGLARY",130017431,"1400 BLOCK GIRARD BL NE","Albuquerque Police","2/25/2013 6:57","Albuquerque NM","1400 BLOCK GIRARD BL NE Albuquerque NM",-106.6130176,35.0983564
NA,"BURGLARY/BREAKING AND ENTERING",130017323,"1100 BLOCK MARTIN LUTHER KING AV NE","Albuquerque Police","2/24/2013 17:13","Albuquerque NM","1100 BLOCK MARTIN LUTHER KING AV NE Albuquerque NM",-106.6343406,35.0849505
NA,"BURGLARY/BREAKING AND ENTERING",130017236,"300 BLOCK COLUMBIA DR SE","Albuquerque Police","2/24/2013 10:09","Albuquerque NM","300 BLOCK COLUMBIA DR SE Albuquerque NM",-106.617043,35.0772805
NA,"AUTO THEFT",130017211,"800 BLOCK LOCUST PL NE","Albuquerque Police","2/24/2013 8:32","Albuquerque NM","800 BLOCK LOCUST PL NE Albuquerque NM",-106.6353901,35.0905607
NA,"AUTO THEFT",130017202,"4100 BLOCK MESA VERDE AV NE","Albuquerque Police","2/24/2013 7:39","Albuquerque NM","4100 BLOCK MESA VERDE AV NE Albuquerque NM",-106.5979629,35.08818
NA,"AUTO BURGLARY",130017087,"2400 BLOCK CENTRAL AV E","Albuquerque Police","2/23/2013 18:07","Albuquerque NM","2400 BLOCK CENTRAL AV E Albuquerque NM",-106.619192,35.080653
NA,"BURGLARY/BREAKING AND ENTERING",130016942,"300 BLOCK JEFFERSON ST NE","Albuquerque Police","2/23/2013 8:29","Albuquerque NM","300 BLOCK JEFFERSON ST NE Albuquerque NM",-106.5930091,35.0818213
NA,"AUTO BURGLARY",130016700,"1100 BLOCK CENTRAL AV E","Albuquerque Police","2/22/2013 15:07","Albuquerque NM","1100 BLOCK CENTRAL AV E Albuquerque NM",-106.635382,35.081573
NA,"AUTO BURGLARY",130016555,"200 BLOCK AMHERST DR SE","Albuquerque Police","2/22/2013 8:00","Albuquerque NM","200 BLOCK AMHERST DR SE Albuquerque NM",-106.605418,35.078926
NA,"AUTO BURGLARY",130016558,"300 BLOCK AMHERST DR SE","Albuquerque Police","2/22/2013 7:41","Albuquerque NM","300 BLOCK AMHERST DR SE Albuquerque NM",-106.6054319,35.077104
NA,"AUTO BURGLARY",130016502,"200 BLOCK HERMOSA DR SE","Albuquerque Police","2/21/2013 22:12","Albuquerque NM","200 BLOCK HERMOSA DR SE Albuquerque NM",-106.603133,35.078173
NA,"BURGLARY/BREAKING AND ENTERING",130016418,"3400 BLOCK CALLE DEL RANCHERO NE","Albuquerque Police","2/21/2013 17:00","Albuquerque NM","3400 BLOCK CALLE DEL RANCHERO NE Albuquerque NM",-106.605923,35.09357
NA,"BURGLARY/BREAKING AND ENTERING",130016397,"4100 BLOCK SUNNINGDALE AV NE","Albuquerque Police","2/21/2013 15:20","Albuquerque NM","4100 BLOCK SUNNINGDALE AV NE Albuquerque NM",-106.5990375,35.1022499
NA,"BURGLARY/BREAKING AND ENTERING",130016371,"900 BLOCK DARTMOUTH DR NE","Albuquerque Police","2/21/2013 14:32","Albuquerque NM","900 BLOCK DARTMOUTH DR NE Albuquerque NM",-106.611956,35.089774
NA,"BURGLARY/BREAKING AND ENTERING",130016340,"200 BLOCK COLUMBIA DR SE","Albuquerque Police","2/21/2013 13:17","Albuquerque NM","200 BLOCK COLUMBIA DR SE Albuquerque NM",-106.6170437,35.0790966
NA,"BURGLARY/BREAKING AND ENTERING",130016298,"300 BLOCK JEFFERSON ST NE","Albuquerque Police","2/21/2013 11:42","Albuquerque NM","300 BLOCK JEFFERSON ST NE Albuquerque NM",-106.5930091,35.0818213
NA,"THEFT FROM A MOTOR VEHICLE",130016221,"900 BLOCK LAS LOMAS RD NE","Albuquerque Police","2/21/2013 8:10","Albuquerque NM","900 BLOCK LAS LOMAS RD NE Albuquerque NM",-106.6347076,35.0892455
NA,"COMMERCIAL BURGLARY",130016176,"600 BLOCK ENCINO PL NE","Albuquerque Police","2/20/2013 23:15","Albuquerque NM","600 BLOCK ENCINO PL NE Albuquerque NM",-106.632468,35.087037
NA,"AUTO BURGLARY",130016155,"100 BLOCK CORNELL DR SE","Albuquerque Police","2/20/2013 22:27","Albuquerque NM","100 BLOCK CORNELL DR SE Albuquerque NM",-106.6195216,35.0809104
NA,"AUTO BURGLARY",130016151,"100 BLOCK CORNELL DR SE","Albuquerque Police","2/20/2013 20:22","Albuquerque NM","100 BLOCK CORNELL DR SE Albuquerque NM",-106.6195216,35.0809104
NA,"BURGLARY/BREAKING AND ENTERING",130016130,"1700 BLOCK INDIAN SCHOOL RD NE","Albuquerque Police","2/20/2013 19:10","Albuquerque NM","1700 BLOCK INDIAN SCHOOL RD NE Albuquerque NM",-106.6268411,35.0993216
NA,"BURGLARY/BREAKING AND ENTERING",130016074,"3700 BLOCK GARFIELD AV SE","Albuquerque Police","2/20/2013 16:42","Albuquerque NM","3700 BLOCK GARFIELD AV SE Albuquerque NM",-106.6030725,35.07344
NA,"BURGLARY/BREAKING AND ENTERING",130015994,"1800 BLOCK RICHMOND DR NE","Albuquerque Police","2/20/2013 13:00","Albuquerque NM","1800 BLOCK RICHMOND DR NE Albuquerque NM",-106.6113534,35.103516
NA,"BURGLARY/BREAKING AND ENTERING",130015803,"3300 BLOCK HASTINGS DR NE","Albuquerque Police","2/19/2013 18:35","Albuquerque NM","3300 BLOCK HASTINGS DR NE Albuquerque NM",-106.608417,35.092038
NA,"AUTO BURGLARY",130015727,"300 BLOCK SIERRA DR SE","Albuquerque Police","2/19/2013 16:08","Albuquerque NM","300 BLOCK SIERRA DR SE Albuquerque NM",-106.5980174,35.0761695
NA,"AUTO THEFT",130015670,"1900 BLOCK INDIAN PLAZA DR NE","Albuquerque Police","2/19/2013 12:26","Albuquerque NM","1900 BLOCK INDIAN PLAZA DR NE Albuquerque NM",-106.6063645,35.1032824
NA,"AUTO THEFT",130015580,"1500 BLOCK UNIVERSITY BL NE","Albuquerque Police","2/19/2013 9:02","Albuquerque NM","1500 BLOCK UNIVERSITY BL NE Albuquerque NM",-106.6267156,35.0974276
NA,"BURGLARY/BREAKING AND ENTERING",130015510,"500 BLOCK RICHMOND DR SE","Albuquerque Police","2/18/2013 22:53","Albuquerque NM","500 BLOCK RICHMOND DR SE Albuquerque NM",-106.6108061,35.0736374
NA,"AUTO THEFT",130015455,"LEAD AV SE/ MAPLE ST SE","Albuquerque Police","2/18/2013 17:25","Albuquerque NM","LEAD AV SE/ MAPLE ST SE Albuquerque NM",-106.6308571,35.0788391
NA,"AUTO THEFT",130015423,"100 BLOCK MAPLE ST NE","Albuquerque Police","2/18/2013 16:00","Albuquerque NM","100 BLOCK MAPLE ST NE Albuquerque NM",-106.6298866,35.0818016
NA,"AUTO BURGLARY",130015389,"2100 BLOCK GOLD AV SE","Albuquerque Police","2/18/2013 13:35","Albuquerque NM","2100 BLOCK GOLD AV SE Albuquerque NM",-106.623841,35.079687
NA,"AUTO BURGLARY",130015351,"300 BLOCK PRINCETON DR SE","Albuquerque Police","2/18/2013 12:02","Albuquerque NM","300 BLOCK PRINCETON DR SE Albuquerque NM",-106.6157873,35.0772796
NA,"AUTO THEFT",130015330,"400 BLOCK SOLANO DR NE","Albuquerque Police","2/18/2013 9:55","Albuquerque NM","400 BLOCK SOLANO DR NE Albuquerque NM",-106.6020545,35.0837883
NA,"AUTO BURGLARY",130800474,"1000 BLOCK STANFORD DR NE","Albuquerque Police","2/18/2013 8:47","Albuquerque NM","1000 BLOCK STANFORD DR NE Albuquerque NM",-106.617197,35.0911929
NA,"COMMERCIAL BURGLARY",130015297,"4700 BLOCK CUTLER AV NE","Albuquerque Police","2/18/2013 7:17","Albuquerque NM","4700 BLOCK CUTLER AV NE Albuquerque NM",-106.592441,35.1055275
NA,"BURGLARY/BREAKING AND ENTERING",130015254,"300 BLOCK MONTCLAIRE DR NE","Albuquerque Police","2/17/2013 21:20","Albuquerque NM","300 BLOCK MONTCLAIRE DR NE Albuquerque NM",-106.5982949,35.0818439
NA,"AUTO BURGLARY",130800482,"3200 BLOCK PURDUE PL NE","Albuquerque Police","2/17/2013 17:44","Albuquerque NM","3200 BLOCK PURDUE PL NE Albuquerque NM",-106.6095099,35.0812276
NA,"AUTO BURGLARY",130800471,"3000 BLOCK MARBLE AV NE","Albuquerque Police","2/17/2013 17:08","Albuquerque NM","3000 BLOCK MARBLE AV NE Albuquerque NM",-106.611973,35.0908919
NA,"AUTO BURGLARY",130015066,"3700 BLOCK CAMPUS BL NE","Albuquerque Police","2/17/2013 8:16","Albuquerque NM","3700 BLOCK CAMPUS BL NE Albuquerque NM",-106.6054627,35.0805072
NA,"AUTO BURGLARY",130014940,"400 BLOCK TULANE DR SE","Albuquerque Police","2/16/2013 18:30","Albuquerque NM","400 BLOCK TULANE DR SE Albuquerque NM",-106.60704,35.0754192
NA,"AUTO BURGLARY",130800459,"1600 BLOCK ALISO DR NE","Albuquerque Police","2/16/2013 14:39","Albuquerque NM","1600 BLOCK ALISO DR NE Albuquerque NM",-106.601262,35.0978574
NA,"AUTO BURGLARY",130800460,"1900 BLOCK GIRARD BL NE","Albuquerque Police","2/16/2013 13:40","Albuquerque NM","1900 BLOCK GIRARD BL NE Albuquerque NM",-106.6138474,35.104974
NA,"AUTO BURGLARY",130014830,"400 BLOCK CORNELL DR SE","Albuquerque Police","2/16/2013 10:26","Albuquerque NM","400 BLOCK CORNELL DR SE Albuquerque NM",-106.6195518,35.0754743
NA,"AUTO BURGLARY",130014804,"300 BLOCK AMHERST DR SE","Albuquerque Police","2/16/2013 8:33","Albuquerque NM","300 BLOCK AMHERST DR SE Albuquerque NM",-106.6054319,35.077104
NA,"AUTO BURGLARY",130014802,"300 BLOCK AMHERST DR SE","Albuquerque Police","2/16/2013 8:33","Albuquerque NM","300 BLOCK AMHERST DR SE Albuquerque NM",-106.6054319,35.077104
NA,"AUTO BURGLARY",130014799,"400 BLOCK TULANE DR SE","Albuquerque Police","2/16/2013 8:30","Albuquerque NM","400 BLOCK TULANE DR SE Albuquerque NM",-106.60704,35.0754192
NA,"AUTO BURGLARY",130014796,"300 BLOCK AMHERST DR SE","Albuquerque Police","2/16/2013 8:19","Albuquerque NM","300 BLOCK AMHERST DR SE Albuquerque NM",-106.6054319,35.077104
NA,"AUTO BURGLARY",130014798,"300 BLOCK AMHERST DR SE","Albuquerque Police","2/16/2013 7:48","Albuquerque NM","300 BLOCK AMHERST DR SE Albuquerque NM",-106.6054319,35.077104
NA,"AUTO BURGLARY",130014744,"300 BLOCK AMHERST DR SE","Albuquerque Police","2/15/2013 23:48","Albuquerque NM","300 BLOCK AMHERST DR SE Albuquerque NM",-106.6054319,35.077104
NA,"BURGLARY/BREAKING AND ENTERING",130014670,"400 BLOCK MAPLE ST SE","Albuquerque Police","2/15/2013 19:06","Albuquerque NM","400 BLOCK MAPLE ST SE Albuquerque NM",-106.6308407,35.0788271
NA,"BURGLARY/BREAKING AND ENTERING",130014604,"1300 BLOCK SIGMA CHI RD NE","Albuquerque Police","2/15/2013 16:06","Albuquerque NM","1300 BLOCK SIGMA CHI RD NE Albuquerque NM",-106.6294038,35.0886195
NA,"AUTO BURGLARY",130014570,"400 BLOCK HARVARD DR SE","Albuquerque Police","2/15/2013 13:36","Albuquerque NM","400 BLOCK HARVARD DR SE Albuquerque NM",-106.6207982,35.0754767
NA,"AUTO BURGLARY",130014553,"100 BLOCK RICHMOND DR SE","Albuquerque Police","2/15/2013 13:25","Albuquerque NM","100 BLOCK RICHMOND DR SE Albuquerque NM",-106.6107655,35.0805529
NA,"AUTO BURGLARY",130014513,"4500 BLOCK LOMAS BL NE","Albuquerque Police","2/15/2013 12:55","Albuquerque NM","4500 BLOCK LOMAS BL NE Albuquerque NM",-106.5952721,35.0873371
NA,"BURGLARY/BREAKING AND ENTERING",130014503,"300 BLOCK JEFFERSON ST NE","Albuquerque Police","2/15/2013 12:31","Albuquerque NM","300 BLOCK JEFFERSON ST NE Albuquerque NM",-106.5930091,35.0818213
NA,"AUTO BURGLARY",130014484,"4200 BLOCK COURTNEY AV NE","Albuquerque Police","2/15/2013 11:45","Albuquerque NM","4200 BLOCK COURTNEY AV NE Albuquerque NM",-106.5981457,35.0851079
NA,"AUTO BURGLARY",130014479,"4200 BLOCK COURTNEY AV NE","Albuquerque Police","2/15/2013 11:29","Albuquerque NM","4200 BLOCK COURTNEY AV NE Albuquerque NM",-106.5981457,35.0851079
NA,"AUTO BURGLARY",130014470,"400 BLOCK VALVERDE DR SE","Albuquerque Police","2/15/2013 11:00","Albuquerque NM","400 BLOCK VALVERDE DR SE Albuquerque NM",-106.5962195,35.0749707
NA,"AUTO BURGLARY",130014106,"3400 BLOCK CENTRAL AV E","Albuquerque Police","2/14/2013 10:39","Albuquerque NM","3400 BLOCK CENTRAL AV E Albuquerque NM",-106.6068726,35.0797839
NA,"AUTO THEFT",130014077,"2100 BLOCK GOLD AV SE","Albuquerque Police","2/14/2013 8:26","Albuquerque NM","2100 BLOCK GOLD AV SE Albuquerque NM",-106.623841,35.079687
NA,"THEFT FROM A MOTOR VEHICLE",130013894,"2600 BLOCK CENTRAL AV E","Albuquerque Police","2/13/2013 15:43","Albuquerque NM","2600 BLOCK CENTRAL AV E Albuquerque NM",-106.6169842,35.0809045
NA,"AUTO BURGLARY",130013900,"500 BLOCK GIRARD BL SE","Albuquerque Police","2/13/2013 15:36","Albuquerque NM","500 BLOCK GIRARD BL SE Albuquerque NM",-106.612967,35.073509
NA,"AUTO BURGLARY",130013823,"4000 BLOCK CENTRAL AV E","Albuquerque Police","2/13/2013 12:01","Albuquerque NM","4000 BLOCK CENTRAL AV E Albuquerque NM",-106.599784,35.0791118
NA,"AUTO BURGLARY",130013794,"200 BLOCK COLUMBIA DR SE","Albuquerque Police","2/13/2013 9:16","Albuquerque NM","200 BLOCK COLUMBIA DR SE Albuquerque NM",-106.6170437,35.0790966
NA,"AUTO BURGLARY",130013776,"1500 BLOCK UNIVERSITY BL NE","Albuquerque Police","2/13/2013 9:00","Albuquerque NM","1500 BLOCK UNIVERSITY BL NE Albuquerque NM",-106.6267156,35.0974276
NA,"AUTO THEFT",130013749,"300 BLOCK CORNELL DR SE","Albuquerque Police","2/13/2013 7:47","Albuquerque NM","300 BLOCK CORNELL DR SE Albuquerque NM",-106.6195493,35.077289
NA,"COMMERCIAL BURGLARY",130013755,"300 BLOCK ADAMS ST SE","Albuquerque Police","2/13/2013 7:34","Albuquerque NM","300 BLOCK ADAMS ST SE Albuquerque NM",-106.594046,35.075578
NA,"BURGLARY/BREAKING AND ENTERING",130013570,"300 BLOCK JEFFERSON ST NE","Albuquerque Police","2/12/2013 14:38","Albuquerque NM","300 BLOCK JEFFERSON ST NE Albuquerque NM",-106.5930091,35.0818213
NA,"AUTO THEFT",130013463,"3000 BLOCK MONTE VISTA BL NE","Albuquerque Police","2/12/2013 10:14","Albuquerque NM","3000 BLOCK MONTE VISTA BL NE Albuquerque NM",-106.6120148,35.0814319
NA,"BURGLARY/BREAKING AND ENTERING",130013360,"200 BLOCK WELLESLEY DR SE","Albuquerque Police","2/11/2013 19:24","Albuquerque NM","200 BLOCK WELLESLEY DR SE Albuquerque NM",-106.6082749,35.0790554
NA,"BURGLARY/BREAKING AND ENTERING",130013108,"1900 BLOCK DARTMOUTH DR NE","Albuquerque Police","2/11/2013 8:40","Albuquerque NM","1900 BLOCK DARTMOUTH DR NE Albuquerque NM",-106.6126574,35.1049731
NA,"AUTO BURGLARY",130013125,"2100 BLOCK COAL AV SE","Albuquerque Police","2/11/2013 8:38","Albuquerque NM","2100 BLOCK COAL AV SE Albuquerque NM",-106.6240294,35.0749993
NA,"AUTO THEFT",130013092,"100 BLOCK MESA ST SE","Albuquerque Police","2/11/2013 7:21","Albuquerque NM","100 BLOCK MESA ST SE Albuquerque NM",-106.6255149,35.0811404
NA,"BURGLARY/BREAKING AND ENTERING",130013102,"300 BLOCK AMHERST DR SE","Albuquerque Police","2/11/2013 7:15","Albuquerque NM","300 BLOCK AMHERST DR SE Albuquerque NM",-106.6054319,35.077104
NA,"AUTO BURGLARY",130800402,"100 BLOCK TULANE DR SE","Albuquerque Police","2/10/2013 18:54","Albuquerque NM","100 BLOCK TULANE DR SE Albuquerque NM",-106.6069905,35.0800179
NA,"AUTO BURGLARY",130012600,"1400 BLOCK LAS LOMAS RD NE","Albuquerque Police","2/9/2013 11:07","Albuquerque NM","1400 BLOCK LAS LOMAS RD NE Albuquerque NM",-106.6287059,35.087314
NA,"AUTO BURGLARY",130012588,"600 BLOCK ENCINO PL NE","Albuquerque Police","2/9/2013 10:22","Albuquerque NM","600 BLOCK ENCINO PL NE Albuquerque NM",-106.632468,35.087037
NA,"AUTO BURGLARY",130800378,"400 BLOCK HERMOSA DR NE","Albuquerque Police","2/9/2013 10:02","Albuquerque NM","400 BLOCK HERMOSA DR NE Albuquerque NM",-106.6025357,35.1251709
NA,"BURGLARY/BREAKING AND ENTERING",130012461,"1300 BLOCK LAFAYETTE DR NE","Albuquerque Police","2/8/2013 19:55","Albuquerque NM","1300 BLOCK LAFAYETTE DR NE Albuquerque NM",-106.608331,35.0966949
NA,"BURGLARY/BREAKING AND ENTERING",130012432,"500 BLOCK MULBERRY ST NE","Albuquerque Police","2/8/2013 18:47","Albuquerque NM","500 BLOCK MULBERRY ST NE Albuquerque NM",-106.634181,35.0860032
NA,"BURGLARY/BREAKING AND ENTERING",130012394,"900 BLOCK JEFFERSON ST NE","Albuquerque Police","2/8/2013 17:16","Albuquerque NM","900 BLOCK JEFFERSON ST NE Albuquerque NM",-106.5929931,35.0928963
NA,"COMMERCIAL BURGLARY",130012366,"2100 BLOCK CARLISLE BL NE","Albuquerque Police","2/8/2013 15:58","Albuquerque NM","2100 BLOCK CARLISLE BL NE Albuquerque NM",-106.6035133,35.1186186
NA,"AUTO BURGLARY",130012312,"3300 BLOCK CENTRAL AV E","Albuquerque Police","2/8/2013 15:23","Albuquerque NM","3300 BLOCK CENTRAL AV E Albuquerque NM",-106.607937,35.0800402
NA,"AUTO BURGLARY",130012258,"1700 BLOCK LOMAS BL NE","Albuquerque Police","2/8/2013 13:08","Albuquerque NM","1700 BLOCK LOMAS BL NE Albuquerque NM",-106.6250342,35.0897772
NA,"BURGLARY/BREAKING AND ENTERING",130012024,"800 BLOCK SUMMIT DR NE","Albuquerque Police","2/7/2013 17:15","Albuquerque NM","800 BLOCK SUMMIT DR NE Albuquerque NM",-106.609701,35.089794
NA,"BURGLARY/BREAKING AND ENTERING",130011927,"700 BLOCK TULANE DR NE","Albuquerque Police","2/7/2013 13:48","Albuquerque NM","700 BLOCK TULANE DR NE Albuquerque NM",-106.6065216,35.0875692
NA,"AUTO THEFT",130011858,"4300 BLOCK ZUNI RD SE","Albuquerque Police","2/7/2013 11:02","Albuquerque NM","4300 BLOCK ZUNI RD SE Albuquerque NM",-106.5971371,35.0729249
NA,"AUTO BURGLARY",130800359,"400 BLOCK STANFORD DR SE","Albuquerque Police","2/7/2013 8:27","Albuquerque NM","400 BLOCK STANFORD DR SE Albuquerque NM",-106.6183096,35.0754712
NA,"AUTO THEFT",130011642,"4500 BLOCK MARBLE AV NE","Albuquerque Police","2/6/2013 16:42","Albuquerque NM","4500 BLOCK MARBLE AV NE Albuquerque NM",-106.594116,35.0892418
NA,"AUTO BURGLARY",130011498,"2400 BLOCK GARFIELD AV SE","Albuquerque Police","2/6/2013 10:16","Albuquerque NM","2400 BLOCK GARFIELD AV SE Albuquerque NM",-106.6195775,35.0736661
NA,"AUTO BURGLARY",130011469,"1700 BLOCK UNIVERSITY BL NE","Albuquerque Police","2/6/2013 9:26","Albuquerque NM","1700 BLOCK UNIVERSITY BL NE Albuquerque NM",-106.6238278,35.1051985
NA,"AUTO THEFT",130011478,"400 BLOCK STANFORD DR SE","Albuquerque Police","2/6/2013 9:26","Albuquerque NM","400 BLOCK STANFORD DR SE Albuquerque NM",-106.6183096,35.0754712
NA,"BURGLARY/BREAKING AND ENTERING",130011443,"100 BLOCK WELLESLEY DR SE","Albuquerque Police","2/6/2013 6:43","Albuquerque NM","100 BLOCK WELLESLEY DR SE Albuquerque NM",-106.6082714,35.0802057
NA,"AUTO BURGLARY",130011435,"500 BLOCK ADAMS ST NE","Albuquerque Police","2/6/2013 4:37","Albuquerque NM","500 BLOCK ADAMS ST NE Albuquerque NM",-106.5941588,35.0855421
NA,"AUTO BURGLARY",130011431,"100 BLOCK RICHMOND DR SE","Albuquerque Police","2/6/2013 4:00","Albuquerque NM","100 BLOCK RICHMOND DR SE Albuquerque NM",-106.6107655,35.0805529
NA,"AUTO BURGLARY",130011393,"100 BLOCK VASSAR DR SE","Albuquerque Police","2/5/2013 21:07","Albuquerque NM","100 BLOCK VASSAR DR SE Albuquerque NM",-106.6145084,35.080896
NA,"AUTO THEFT",130011269,"1800 BLOCK GIRARD BL NE","Albuquerque Police","2/5/2013 15:40","Albuquerque NM","1800 BLOCK GIRARD BL NE Albuquerque NM",-106.6138506,35.1035116
NA,"AUTO THEFT",130011831,"1600 BLOCK UNIVERSITY BL NE","Albuquerque Police","2/5/2013 14:00","Albuquerque NM","1600 BLOCK UNIVERSITY BL NE Albuquerque NM",-106.627165,35.0993507
NA,"BURGLARY/BREAKING AND ENTERING",130011212,"1900 BLOCK WASHINGTON ST NE","Albuquerque Police","2/5/2013 11:14","Albuquerque NM","1900 BLOCK WASHINGTON ST NE Albuquerque NM",-106.594971,35.101031
NA,"AUTO BURGLARY",130011180,"400 BLOCK COLUMBIA DR SE","Albuquerque Police","2/5/2013 11:07","Albuquerque NM","400 BLOCK COLUMBIA DR SE Albuquerque NM",-106.6170644,35.0754595
NA,"ROBBERY",130011187,"1800 BLOCK CENTRAL AV E","Albuquerque Police","2/5/2013 10:49","Albuquerque NM","1800 BLOCK CENTRAL AV E Albuquerque NM",-106.626627,35.081038
NA,"THEFT FROM A MOTOR VEHICLE",130011164,"900 BLOCK BUENA VISTA DR. SE","Albuquerque Police","2/5/2013 10:15","Albuquerque NM","900 BLOCK BUENA VISTA DR. SE Albuquerque NM",-106.6240732,35.0730308
NA,"AUTO BURGLARY",130011118,"100 BLOCK DARTMOUTH DR SE","Albuquerque Police","2/5/2013 6:15","Albuquerque NM","100 BLOCK DARTMOUTH DR SE Albuquerque NM",-106.6119979,35.0807425
NA,"AUTO BURGLARY",130011117,"3600 BLOCK SILVER AV SE","Albuquerque Police","2/5/2013 5:55","Albuquerque NM","3600 BLOCK SILVER AV SE Albuquerque NM",-106.6045199,35.0784572
NA,"AUTO BURGLARY",130800336,"3000 BLOCK CENTRAL AV E","Albuquerque Police","2/4/2013 17:49","Albuquerque NM","3000 BLOCK CENTRAL AV E Albuquerque NM",-106.6116778,35.0805132
NA,"AUTO BURGLARY",130010956,"1500 BLOCK CARLISLE BL NE","Albuquerque Police","2/4/2013 15:59","Albuquerque NM","1500 BLOCK CARLISLE BL NE Albuquerque NM",-106.6035133,35.1186186
NA,"AUTO BURGLARY",130800327,"4100 BLOCK CUTLER AV NE","Albuquerque Police","2/4/2013 11:39","Albuquerque NM","4100 BLOCK CUTLER AV NE Albuquerque NM",-106.601686,35.105278
NA,"AUTO BURGLARY",130010792,"2300 BLOCK GARFIELD AV SE","Albuquerque Police","2/4/2013 7:43","Albuquerque NM","2300 BLOCK GARFIELD AV SE Albuquerque NM",-106.6209336,35.0733846
NA,"AUTO BURGLARY",130800323,"1500 BLOCK GOLD AV SE","Albuquerque Police","2/3/2013 22:52","Albuquerque NM","1500 BLOCK GOLD AV SE Albuquerque NM",-106.630366,35.0805099
NA,"AUTO BURGLARY",130010719,"3100 BLOCK CENTRAL AV E","Albuquerque Police","2/3/2013 21:15","Albuquerque NM","3100 BLOCK CENTRAL AV E Albuquerque NM",-106.610617,35.080339
NA,"THEFT FROM A MOTOR VEHICLE",130800312,"3400 BLOCK CENTRAL AV E","Albuquerque Police","2/2/2013 12:26","Albuquerque NM","3400 BLOCK CENTRAL AV E Albuquerque NM",-106.6068726,35.0797839
NA,"AUTO THEFT",130010277,"1100 BLOCK CENTRAL AV E","Albuquerque Police","2/2/2013 8:37","Albuquerque NM","1100 BLOCK CENTRAL AV E Albuquerque NM",-106.635382,35.081573
NA,"AUTO THEFT",130010200,"100 BLOCK COLUMBIA DR SE","Albuquerque Police","2/1/2013 22:51","Albuquerque NM","100 BLOCK COLUMBIA DR SE Albuquerque NM",-106.6170292,35.0809014
NA,"BURGLARY/BREAKING AND ENTERING",130010154,"700 BLOCK HERMOSA DR NE","Albuquerque Police","2/1/2013 19:30","Albuquerque NM","700 BLOCK HERMOSA DR NE Albuquerque NM",-106.6025357,35.1251709
NA,"BURGLARY/BREAKING AND ENTERING",130010105,"3900 BLOCK MESA VERDE AV NE","Albuquerque Police","2/1/2013 17:00","Albuquerque NM","3900 BLOCK MESA VERDE AV NE Albuquerque NM",-106.6004262,35.0879107
NA,"AUTO BURGLARY",130800300,"1500 BLOCK INDIAN SCHOOL RD NE","Albuquerque Police","2/1/2013 9:35","Albuquerque NM","1500 BLOCK INDIAN SCHOOL RD NE Albuquerque NM",-106.628691,35.0977279
NA,"AUTO THEFT",130009691,"900 BLOCK UNIVERSITY BL SE","Albuquerque Police","1/31/2013 16:22","Albuquerque NM","900 BLOCK UNIVERSITY BL SE Albuquerque NM",-106.6299118,35.0729112
